                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  19000  3.0236e+03   2.2652e+03   1.5244e+03   1.7052e+03  -2.4713e+03  | 240.000
Sim Anneal  20000  3.0256e+03   2.2487e+03   1.5458e+03   1.7018e+03  -2.4707e+03  | 200.000
Sim Anneal  21000  3.0196e+03   2.2796e+03   1.5186e+03   1.6987e+03  -2.4772e+03  | 160.000
Sim Anneal  22000  3.0238e+03   2.2854e+03   1.5178e+03   1.6983e+03  -2.4778e+03  | 120.000
Sim Anneal  23000  3.0202e+03   2.2721e+03   1.5251e+03   1.6981e+03  -2.4752e+03  | 80.000
Sim Anneal  24000  3.0202e+03   2.2721e+03   1.5251e+03   1.6981e+03  -2.4752e+03  | 40.000
Sim Anneal  25000  3.0202e+03   2.2721e+03   1.5251e+03   1.6981e+03  -2.4752e+03  |  0.000
ILSRR 3020.1546034810094 1868.4254456162357 
Sim Anneal      0  3.0548e+09   3.0547e+09   1.1774e+04   1.4918e+03  -2.8252e+03  | -1.000
Sim Anneal   1000  7.6561e+03   3.8235e+03   5.1669e+03   1.1458e+03  -2.4801e+03  | 960.000
Sim Anneal   2000  6.6068e+03   3.6088e+03   4.1768e+03   1.2972e+03  -2.4759e+03  | 920.000
Sim Anneal   3000  6.1942e+03   3.1760e+03   4.1720e+03   1.3095e+03  -2.4633e+03  | 880.000
Sim Anneal   4000  5.8187e+03   3.2902e+03   3.6582e+03   1.3568e+03  -2.4865e+03  | 840.000
Sim Anneal   5000  5.5783e+03   3.0466e+03   3.6592e+03   1.3344e+03  -2.4620e+03  | 800.000
Sim Anneal   6000  5.4082e+03   3.0188e+03   3.4979e+03   1.3597e+03  -2.4682e+03  | 760.000
Sim Anneal   7000  5.2267e+03   2.8900e+03   3.4330e+03   1.3692e+03  -2.4656e+03  | 720.000
Sim Anneal   8000  4.8922e+03   2.7504e+03   3.2441e+03   1.3683e+03  -2.4706e+03  | 680.000
Sim Anneal   9000  4.8823e+03   2.7382e+03   3.2423e+03   1.3700e+03  -2.4682e+03  | 640.000
Sim Anneal  10000  4.8770e+03   2.7340e+03   3.2393e+03   1.3718e+03  -2.4681e+03  | 600.000
Sim Anneal  11000  4.8796e+03   2.7395e+03   3.2346e+03   1.3754e+03  -2.4699e+03  | 560.000
Sim Anneal  12000  4.8725e+03   2.7352e+03   3.2361e+03   1.3721e+03  -2.4709e+03  | 520.000
Sim Anneal  13000  4.8477e+03   2.6972e+03   3.2465e+03   1.3776e+03  -2.4735e+03  | 480.000
Sim Anneal  14000  4.8264e+03   2.6689e+03   3.2540e+03   1.3741e+03  -2.4706e+03  | 440.000
Sim Anneal  15000  4.8311e+03   2.6828e+03   3.2399e+03   1.3825e+03  -2.4741e+03  | 400.000
Sim Anneal  16000  4.8333e+03   2.6807e+03   3.2412e+03   1.3837e+03  -2.4724e+03  | 360.000
Sim Anneal  17000  4.8315e+03   2.6681e+03   3.2452e+03   1.3920e+03  -2.4738e+03  | 320.000
Sim Anneal  18000  4.8317e+03   2.6698e+03   3.2431e+03   1.3926e+03  -2.4738e+03  | 280.000
