 STAGE_1 STEP 153    | E(total)= 49.8649    | AR= 22.2 %  | T= 0.0049  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 154    | E(total)= 49.8649    | AR= 22.1 %  | T= 0.0049  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 155    | E(total)= 49.8649    | AR= 21.9 %  | T= 0.0049  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 156    | E(total)= 49.8649    | AR= 21.8 %  | T= 0.0048  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 157    | E(total)= 49.8649    | AR= 21.7 %  | T= 0.0048  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 158    | E(total)= 49.8649    | AR= 21.5 %  | T= 0.0048  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 159    | E(total)= 49.8649    | AR= 21.4 %  | T= 0.0047  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 160    | E(total)= 49.8649    | AR= 21.3 %  | T= 0.0047  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 161    | E(total)= 49.8649    | AR= 21.1 %  | T= 0.0047  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 162    | E(total)= 49.8649    | AR= 21.0 %  | T= 0.0046  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 163    | E(total)= 49.8649    | AR= 20.9 %  | T= 0.0046  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 164    | E(total)= 49.8649    | AR= 20.7 %  | T= 0.0046  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 165    | E(total)= 49.8649    | AR= 20.6 %  | T= 0.0045  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 166    | E(total)= 49.8649    | AR= 20.5 %  | T= 0.0045  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 167    | E(total)= 49.8649    | AR= 20.4 %  | T= 0.0045  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 168    | E(total)= 49.8649    | AR= 20.2 %  | T= 0.0044  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 169    | E(total)= 49.8649    | AR= 20.1 %  | T= 0.0044  | E(ani)= -8.5720    | E(cls)= 58.4368   
 STAGE_1 STEP 170    | E(total)= 49.3252    | AR= 20.6 %  | T= 0.0044  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 171    | E(total)= 49.3252    | AR= 20.5 %  | T= 0.0043  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 172    | E(total)= 49.3252    | AR= 20.3 %  | T= 0.0043  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 173    | E(total)= 49.3252    | AR= 20.2 %  | T= 0.0043  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 174    | E(total)= 49.3252    | AR= 20.1 %  | T= 0.0042  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 175    | E(total)= 49.3252    | AR= 20.0 %  | T= 0.0042  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 176    | E(total)= 49.3252    | AR= 19.9 %  | T= 0.0042  | E(ani)= -8.5652    | E(cls)= 57.8904   
