Start:  1 | Cycle:  4 | Step: 1600 | Energy:     -5.15230 | Acceptance Rate: 0.6306 (1009) | Temperature: 0.0187 | Step size: 0.1868
Start:  1 | Cycle:  4 | Step: 1700 | Energy:     -5.14419 | Acceptance Rate: 0.6400 (1088) | Temperature: 0.0173 | Step size: 0.1735
Start:  1 | Cycle:  4 | Step: 1800 | Energy:     -5.11628 | Acceptance Rate: 0.6467 (1164) | Temperature: 0.0160 | Step size: 0.1601
Start:  1 | Cycle:  4 | Step: 1900 | Energy:     -5.08607 | Acceptance Rate: 0.6511 (1237) | Temperature: 0.0147 | Step size: 0.1468
Start:  1 | Cycle:  4 | Step: 2000 | Energy:     -5.12618 | Acceptance Rate: 0.6510 (1302) | Temperature: 0.0133 | Step size: 0.1335
Start:  1 | Cycle:  4 | Step: 2100 | Energy:     -5.08070 | Acceptance Rate: 0.6500 (1365) | Temperature: 0.0120 | Step size: 0.1201
Start:  1 | Cycle:  4 | Step: 2200 | Energy:     -5.11014 | Acceptance Rate: 0.6541 (1439) | Temperature: 0.0107 | Step size: 0.1068
Start:  1 | Cycle:  4 | Step: 2300 | Energy:     -5.16468 | Acceptance Rate: 0.6574 (1512) | Temperature: 0.0093 | Step size: 0.0935
Start:  1 | Cycle:  4 | Step: 2400 | Energy:     -5.16054 | Acceptance Rate: 0.6604 (1585) | Temperature: 0.0080 | Step size: 0.0801
Start:  1 | Cycle:  4 | Step: 2500 | Energy:     -5.18048 | Acceptance Rate: 0.6656 (1664) | Temperature: 0.0067 | Step size: 0.0668
Start:  1 | Cycle:  4 | Step: 2600 | Energy:     -5.17120 | Acceptance Rate: 0.6696 (1741) | Temperature: 0.0053 | Step size: 0.0535
Start:  1 | Cycle:  4 | Step: 2700 | Energy:     -5.15444 | Acceptance Rate: 0.6744 (1821) | Temperature: 0.0040 | Step size: 0.0401
Start:  1 | Cycle:  4 | Step: 2800 | Energy:     -5.18318 | Acceptance Rate: 0.6693 (1874) | Temperature: 0.0027 | Step size: 0.0268
Start:  1 | Cycle:  4 | Step: 2900 | Energy:     -5.19870 | Acceptance Rate: 0.6593 (1912) | Temperature: 0.0013 | Step size: 0.0135
Start:  1 | Cycle:  4 | Step: 3000 | Energy:     -5.20638 | Acceptance Rate: 0.6503 (1951) | Temperature: 0.0000 | Step size: 0.0001
Start:  1 | Cycle:  5 | Step:  100 | Energy:     -5.21132 | Acceptance Rate: 0.5900 (59  ) | Temperature: 0.0193 | Step size: 0.1934
Start:  1 | Cycle:  5 | Step:  200 | Energy:     -5.19929 | Acceptance Rate: 0.6400 (128 ) | Temperature: 0.0187 | Step size: 0.1867
Start:  1 | Cycle:  5 | Step:  300 | Energy:     -5.19777 | Acceptance Rate: 0.5833 (175 ) | Temperature: 0.0180 | Step size: 0.1801
Start:  1 | Cycle:  5 | Step:  400 | Energy:     -5.18583 | Acceptance Rate: 0.6100 (244 ) | Temperature: 0.0173 | Step size: 0.1734
Start:  1 | Cycle:  5 | Step:  500 | Energy:     -5.16105 | Acceptance Rate: 0.6480 (324 ) | Temperature: 0.0167 | Step size: 0.1667
Start:  1 | Cycle:  5 | Step:  600 | Energy:     -5.13326 | Acceptance Rate: 0.6533 (392 ) | Temperature: 0.0160 | Step size: 0.1601
Start:  1 | Cycle:  5 | Step:  700 | Energy:     -5.15445 | Acceptance Rate: 0.6557 (459 ) | Temperature: 0.0153 | Step size: 0.1534
Start:  1 | Cycle:  5 | Step:  800 | Energy:     -5.13422 | Acceptance Rate: 0.6613 (529 ) | Temperature: 0.0147 | Step size: 0.1467
Start:  1 | Cycle:  5 | Step:  900 | Energy:     -5.15325 | Acceptance Rate: 0.6711 (604 ) | Temperature: 0.0140 | Step size: 0.1401
Start:  1 | Cycle:  5 | Step: 1000 | Energy:     -5.21364 | Acceptance Rate: 0.6710 (671 ) | Temperature: 0.0133 | Step size: 0.1334
Start:  1 | Cycle:  5 | Step: 1100 | Energy:     -5.20188 | Acceptance Rate: 0.6618 (728 ) | Temperature: 0.0127 | Step size: 0.1267
Start:  1 | Cycle:  5 | Step: 1200 | Energy:     -5.21261 | Acceptance Rate: 0.6625 (795 ) | Temperature: 0.0120 | Step size: 0.1201
Start:  1 | Cycle:  5 | Step: 1300 | Energy:     -5.21169 | Acceptance Rate: 0.6677 (868 ) | Temperature: 0.0113 | Step size: 0.1134
Start:  1 | Cycle:  5 | Step: 1400 | Energy:     -5.24429 | Acceptance Rate: 0.6614 (926 ) | Temperature: 0.0107 | Step size: 0.1067
Start:  1 | Cycle:  5 | Step: 1500 | Energy:     -5.20388 | Acceptance Rate: 0.6693 (1004) | Temperature: 0.0100 | Step size: 0.1001
Start:  1 | Cycle:  5 | Step: 1600 | Energy:     -5.22544 | Acceptance Rate: 0.6737 (1078) | Temperature: 0.0093 | Step size: 0.0934
Start:  1 | Cycle:  5 | Step: 1700 | Energy:     -5.21036 | Acceptance Rate: 0.6806 (1157) | Temperature: 0.0087 | Step size: 0.0867
Start:  1 | Cycle:  5 | Step: 1800 | Energy:     -5.21647 | Acceptance Rate: 0.6894 (1241) | Temperature: 0.0080 | Step size: 0.0801
Start:  1 | Cycle:  5 | Step: 1900 | Energy:     -5.20036 | Acceptance Rate: 0.6942 (1319) | Temperature: 0.0073 | Step size: 0.0734
Start:  1 | Cycle:  5 | Step: 2000 | Energy:     -5.20707 | Acceptance Rate: 0.7005 (1401) | Temperature: 0.0067 | Step size: 0.0667
Start:  1 | Cycle:  5 | Step: 2100 | Energy:     -5.21010 | Acceptance Rate: 0.7071 (1485) | Temperature: 0.0060 | Step size: 0.0601
Start:  1 | Cycle:  5 | Step: 2200 | Energy:     -5.20665 | Acceptance Rate: 0.7123 (1567) | Temperature: 0.0053 | Step size: 0.0534
Start:  1 | Cycle:  5 | Step: 2300 | Energy:     -5.21392 | Acceptance Rate: 0.7157 (1646) | Temperature: 0.0047 | Step size: 0.0467
Start:  1 | Cycle:  5 | Step: 2400 | Energy:     -5.23095 | Acceptance Rate: 0.7217 (1732) | Temperature: 0.0040 | Step size: 0.0401
Start:  1 | Cycle:  5 | Step: 2500 | Energy:     -5.25037 | Acceptance Rate: 0.7276 (1819) | Temperature: 0.0033 | Step size: 0.0334
Start:  1 | Cycle:  5 | Step: 2600 | Energy:     -5.25359 | Acceptance Rate: 0.7312 (1901) | Temperature: 0.0027 | Step size: 0.0267
Start:  1 | Cycle:  5 | Step: 2700 | Energy:     -5.25930 | Acceptance Rate: 0.7341 (1982) | Temperature: 0.0020 | Step size: 0.0201
Start:  1 | Cycle:  5 | Step: 2800 | Energy:     -5.25595 | Acceptance Rate: 0.7343 (2056) | Temperature: 0.0013 | Step size: 0.0134
Start:  1 | Cycle:  5 | Step: 2900 | Energy:     -5.25956 | Acceptance Rate: 0.7410 (2149) | Temperature: 0.0007 | Step size: 0.0067
Start:  1 | Cycle:  5 | Step: 3000 | Energy:     -5.25828 | Acceptance Rate: 0.7470 (2241) | Temperature: 0.0000 | Step size: 0.0001
Start:  2 | Cycle:  1 | Step:  100 | Energy:     -4.97298 | Acceptance Rate: 0.5700 (57  ) | Temperature: 0.0967 | Step size: 0.9670
Start:  2 | Cycle:  1 | Step:  200 | Energy:     -5.05551 | Acceptance Rate: 0.6400 (128 ) | Temperature: 0.0934 | Step size: 0.9337
Start:  2 | Cycle:  1 | Step:  300 | Energy:     -4.98759 | Acceptance Rate: 0.6633 (199 ) | Temperature: 0.0900 | Step size: 0.9003
Start:  2 | Cycle:  1 | Step:  400 | Energy:     -5.11092 | Acceptance Rate: 0.6375 (255 ) | Temperature: 0.0867 | Step size: 0.8670
Start:  2 | Cycle:  1 | Step:  500 | Energy:     -5.11237 | Acceptance Rate: 0.6480 (324 ) | Temperature: 0.0834 | Step size: 0.8337
Start:  2 | Cycle:  1 | Step:  600 | Energy:     -5.05015 | Acceptance Rate: 0.6417 (385 ) | Temperature: 0.0800 | Step size: 0.8003
Start:  2 | Cycle:  1 | Step:  700 | Energy:     -5.08020 | Acceptance Rate: 0.6471 (453 ) | Temperature: 0.0767 | Step size: 0.7670
Start:  2 | Cycle:  1 | Step:  800 | Energy:     -5.09386 | Acceptance Rate: 0.6488 (519 ) | Temperature: 0.0734 | Step size: 0.7337
Start:  2 | Cycle:  1 | Step:  900 | Energy:     -5.08449 | Acceptance Rate: 0.6378 (574 ) | Temperature: 0.0700 | Step size: 0.7003
Start:  2 | Cycle:  1 | Step: 1000 | Energy:     -5.12147 | Acceptance Rate: 0.6270 (627 ) | Temperature: 0.0667 | Step size: 0.6670
Start:  2 | Cycle:  1 | Step: 1100 | Energy:     -5.09034 | Acceptance Rate: 0.6264 (689 ) | Temperature: 0.0634 | Step size: 0.6337
Start:  2 | Cycle:  1 | Step: 1200 | Energy:     -5.06572 | Acceptance Rate: 0.6208 (745 ) | Temperature: 0.0600 | Step size: 0.6003
Start:  2 | Cycle:  1 | Step: 1300 | Energy:     -5.14865 | Acceptance Rate: 0.6223 (809 ) | Temperature: 0.0567 | Step size: 0.5670
