(   MC)       160000 | ⚡E:  4.376e+02 ▶️ ⚡Amber:  1.985e+02 & ⚡Other:  2.391e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3833 | T: 60.00
(   MC)       170000 | ⚡E:  2.742e+00 ▶️ ⚡Amber: -2.409e+02 & ⚡Other:  2.436e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3737 | T: 45.00
(   MC)       180000 | ⚡E:  1.000e+02 ▶️ ⚡Amber: -1.402e+02 & ⚡Other:  2.402e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3655 | T: 30.00
(   MC)       190000 | ⚡E: -5.673e-01 ▶️ ⚡Amber: -2.410e+02 & ⚡Other:  2.405e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3576 | T: 15.00
(   MC)       200000 | ⚡E: -2.760e+02 ▶️ ⚡Amber: -5.198e+02 & ⚡Other:  2.438e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3502 | T: 0.00
(   MC)            0 | ⚡E:  1.105e+10 ▶️ ⚡Amber:  1.105e+10 & ⚡Other:  4.167e+02 | Dihedral: 1.57e+00 | Crankshaft: 1.57e+00 | AR: 0.0000 | T: 300.00
(   MC)        10000 | ⚡E:  3.431e+03 ▶️ ⚡Amber:  2.829e+03 & ⚡Other:  6.023e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4750 | T: 285.00
(   MC)        20000 | ⚡E:  2.857e+03 ▶️ ⚡Amber:  2.383e+03 & ⚡Other:  4.737e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4666 | T: 270.00
(   MC)        30000 | ⚡E:  3.015e+03 ▶️ ⚡Amber:  2.676e+03 & ⚡Other:  3.386e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4654 | T: 255.00
(   MC)        40000 | ⚡E:  3.079e+03 ▶️ ⚡Amber:  2.511e+03 & ⚡Other:  5.673e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4631 | T: 240.00
(   MC)        50000 | ⚡E:  3.051e+03 ▶️ ⚡Amber:  2.747e+03 & ⚡Other:  3.043e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4608 | T: 225.00
(   MC)        60000 | ⚡E:  3.099e+03 ▶️ ⚡Amber:  2.654e+03 & ⚡Other:  4.457e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4567 | T: 210.00
(   MC)        70000 | ⚡E:  3.234e+03 ▶️ ⚡Amber:  2.676e+03 & ⚡Other:  5.584e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4519 | T: 195.00
(   MC)        80000 | ⚡E:  3.126e+03 ▶️ ⚡Amber:  2.578e+03 & ⚡Other:  5.488e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4467 | T: 180.00
(   MC)        90000 | ⚡E:  3.555e+03 ▶️ ⚡Amber:  3.149e+03 & ⚡Other:  4.057e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4400 | T: 165.00
(   MC)       100000 | ⚡E:  2.421e+03 ▶️ ⚡Amber:  2.003e+03 & ⚡Other:  4.176e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4346 | T: 150.00
(   MC)       110000 | ⚡E:  2.078e+03 ▶️ ⚡Amber:  1.670e+03 & ⚡Other:  4.080e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4282 | T: 135.00
(   MC)       120000 | ⚡E:  2.694e+03 ▶️ ⚡Amber:  2.205e+03 & ⚡Other:  4.888e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4193 | T: 120.00
(   MC)       130000 | ⚡E:  3.259e+03 ▶️ ⚡Amber:  2.579e+03 & ⚡Other:  6.797e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4118 | T: 105.00
(   MC)       140000 | ⚡E:  2.313e+03 ▶️ ⚡Amber:  1.833e+03 & ⚡Other:  4.798e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4017 | T: 90.00
(   MC)       150000 | ⚡E:  1.749e+03 ▶️ ⚡Amber:  1.331e+03 & ⚡Other:  4.180e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3930 | T: 75.00
(   MC)       160000 | ⚡E:  3.758e+02 ▶️ ⚡Amber:  1.207e+02 & ⚡Other:  2.551e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3822 | T: 60.00
(   MC)       170000 | ⚡E:  2.658e+02 ▶️ ⚡Amber: -3.852e+01 & ⚡Other:  3.044e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3731 | T: 45.00
(   MC)       180000 | ⚡E: -2.583e+02 ▶️ ⚡Amber: -5.143e+02 & ⚡Other:  2.560e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3646 | T: 30.00
(   MC)       190000 | ⚡E: -4.453e+02 ▶️ ⚡Amber: -7.008e+02 & ⚡Other:  2.555e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3568 | T: 15.00
(   MC)       200000 | ⚡E: -4.937e+02 ▶️ ⚡Amber: -7.494e+02 & ⚡Other:  2.557e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3492 | T: 0.00
(   MC)            0 | ⚡E:  5.450e+04 ▶️ ⚡Amber:  5.392e+04 & ⚡Other:  5.844e+02 | Dihedral: 1.57e+00 | Crankshaft: 1.57e+00 | AR: 0.0000 | T: 300.00
(   MC)        10000 | ⚡E:  3.479e+03 ▶️ ⚡Amber:  2.981e+03 & ⚡Other:  4.987e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4746 | T: 285.00
(   MC)        20000 | ⚡E:  2.670e+03 ▶️ ⚡Amber:  2.217e+03 & ⚡Other:  4.530e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4738 | T: 270.00
(   MC)        30000 | ⚡E:  2.908e+03 ▶️ ⚡Amber:  2.401e+03 & ⚡Other:  5.071e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4723 | T: 255.00
(   MC)        40000 | ⚡E:  3.005e+03 ▶️ ⚡Amber:  2.595e+03 & ⚡Other:  4.099e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4649 | T: 240.00
(   MC)        50000 | ⚡E:  3.081e+03 ▶️ ⚡Amber:  2.540e+03 & ⚡Other:  5.406e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4601 | T: 225.00
(   MC)        60000 | ⚡E:  3.730e+03 ▶️ ⚡Amber:  3.378e+03 & ⚡Other:  3.517e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4539 | T: 210.00
(   MC)        70000 | ⚡E:  3.523e+03 ▶️ ⚡Amber:  2.776e+03 & ⚡Other:  7.471e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4501 | T: 195.00
