(REFNM)           42 | ⚡E:  2.759e+03 ▶️ ⚡Amber:  2.382e+03 & ⚡Other:  3.763e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6905 | T: 200.00
(REFNM)           43 | ⚡E:  2.470e+03 ▶️ ⚡Amber:  2.095e+03 & ⚡Other:  3.748e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6977 | T: 200.00
(REFNM)           44 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7045 | T: 200.00
(REFNM)           45 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6889 | T: 200.00
(REFNM)           46 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6739 | T: 200.00
(REFNM)           47 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6596 | T: 200.00
(REFNM)           48 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6458 | T: 200.00
(REFNM)           49 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.009e+03 & ⚡Other:  3.705e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6327 | T: 200.00
(REFNM)           50 | ⚡E:  2.091e+03 ▶️ ⚡Amber:  1.711e+03 & ⚡Other:  3.805e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6400 | T: 200.00
(REFNM)           51 | ⚡E:  2.091e+03 ▶️ ⚡Amber:  1.711e+03 & ⚡Other:  3.805e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6275 | T: 200.00
(REFNM)           52 | ⚡E:  2.044e+03 ▶️ ⚡Amber:  1.644e+03 & ⚡Other:  4.008e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6346 | T: 200.00
(REFNM)           53 | ⚡E:  2.239e+03 ▶️ ⚡Amber:  1.838e+03 & ⚡Other:  4.012e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6415 | T: 200.00
(REFNM)           54 | ⚡E:  2.367e+03 ▶️ ⚡Amber:  1.989e+03 & ⚡Other:  3.786e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6481 | T: 200.00
(REFNM)           55 | ⚡E:  2.367e+03 ▶️ ⚡Amber:  1.989e+03 & ⚡Other:  3.786e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6364 | T: 200.00
(REFNM)           56 | ⚡E:  2.367e+03 ▶️ ⚡Amber:  1.989e+03 & ⚡Other:  3.786e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6250 | T: 200.00
(REFNM)           57 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6316 | T: 200.00
(REFNM)           58 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6207 | T: 200.00
(REFNM)           59 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6102 | T: 200.00
(REFNM)           60 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6000 | T: 200.00
(REFNM)           61 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5902 | T: 200.00
(REFNM)           62 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5806 | T: 200.00
(REFNM)           63 | ⚡E:  2.274e+03 ▶️ ⚡Amber:  1.911e+03 & ⚡Other:  3.636e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5714 | T: 200.00
(REFNM)           64 | ⚡E:  2.547e+03 ▶️ ⚡Amber:  2.188e+03 & ⚡Other:  3.590e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5781 | T: 200.00
